"","pH","P","C","N","KAK","Seal_500","mean_temp_summer","HanskiHist","Cover_total","Cover_litter","Plant_SR","NeophyteHerb_Prop","Neophyte_RelCover","BG_Decomposer_Abun","Decomposer_Abun","BG_Decomposer_TR","Decomposer_SR","decomposition_s","decomposition_k"
"Nh_04",1.12590095864871,-0.596196099396067,0.064613788966953,0.11883804210037,2.18910338101557,-0.733686863828412,-0.909205932761265,-0.665028344703472,0.867155248235909,0.860309002014607,0.704226976905773,-0.356619848615219,-0.564286406287304,0.808719413471651,0.708253612639237,0.836365255593204,0.935230896948495,0.72353139865377,1.14238765631654
"Nh_10",-0.303613741658081,-0.773303572923026,-0.111093021641476,0.25878250885877,-0.441036430467097,0.255231294408198,0.712661766973145,1.01165433760056,-0.108394406029489,0.860309002014607,0.444415082513352,0.802482210050026,0.584162092416045,-1.89739902681085,-1.09789870979417,-2.35652988475909,-0.868669705677617,1.03832768479127,-0.803901255215172
"Nh_201",1.14487681750234,-0.891829343667991,-0.938803820980488,-1.33271565246206,0.376402022393703,-0.412376553802244,0.0479854040199067,0.344396142878155,-2.27628252661926,-0.648540632287934,-1.11445628384117,1.29139668742687,-0.543422688124198,-1.68765628412724,-0.929286897044757,-1.17812728848877,-0.868669705677617,0.851076431069102,-1.85005528787189
"Nh_51",0.240360878812646,-0.65137188922562,-0.680252315474865,-0.488915649430879,0.2597899853158,-1.18366524575805,-0.517326953185968,-0.615060662225392,0.433577624117955,0.35735912391376,-0.205114653467701,-0.0802185884719684,-0.56156469693448,1.09428413170196,0.326099010566694,0.836365255593204,-1.61438436560878,-0.57082418929161,-0.269188515340745
"Nl_09",0.202409161105386,-0.577804169452882,-0.930686258565631,-1.15103526390832,-0.83838985675247,1.02377051356254,0.991836919483666,-0.270448160908603,-1.73431049647182,-0.648540632287934,0.184603188120931,0.953222576300087,-0.0881181558479345,-1.68765628412724,0.143002018720062,-1.17812728848877,0.689645481459261,-0.1062396361319,-0.62967049433025
"Nl_14",0.815961930706091,0.939870642155061,-0.235173078955847,-0.719377877065005,0.769899697635032,1.28221503221414,0.784525218004626,-0.782694029666061,-1.73431049647182,-0.648540632287934,0.574321029709562,2.32225129321959,3.17272340360933,1.27661311166629,-0.0991530732791265,0.306484406203994,0.0708196577552591,0.509930265882079,0.274456632640969
"Nl_200",0.480721757625294,1.58154464239504,0.643650819272595,0.93134903570646,0.64416013740563,1.23075492586099,0.912755722340476,-0.711215083512658,0.975549654265398,0.35735912391376,0.184603188120931,-0.799134181356877,-0.577932136424238,0.386465008195532,-0.289051374498045,0.836365255593204,0.689645481459261,1.57469627156487,0.644190782822113
"Nl_206",-0.303613741658081,-0.185783588626863,-0.48988001373388,-0.157936979974306,-0.644277890788959,0.279305187282303,0.00271187845591101,0.0308339348828792,0.75876084220642,-0.145590754187087,0.184603188120931,-0.799134181356877,-0.580321865508418,0.339441826239842,-0.405530768184976,1.28437313023582,0.406137925601022,0.199780963382839,0.787885965573165
"Nl_208",0.36054131821897,-0.710975365893346,1.99791787293851,3.20114156258816,-0.389898367673867,0.816742090238604,0.943324604179052,-0.152700568562606,-0.108394406029489,-0.900015571338358,0.704226976905773,-0.869936474595542,-0.509038515435958,-0.941917233312452,0.0100954482927608,-0.342037340677113,0.689645481459261,1.20004931394933,0.37506463798639
"Nl_220",0.385842463357144,-0.926229064487651,-1.22411443594678,-1.17670382470408,-0.94638644575712,1.48532879690631,1.0864234860707,-0.561229337410144,0.650366436176932,-0.648540632287934,-1.63408007262602,0.875340053737556,0.733882968966077,0.936222948521099,-0.0348060986546731,-1.17812728848877,-1.61438436560878,-0.730086195952496,0.719639900547526
"Nm_09",-1.44216527287588,-0.575079439090929,0.929074660511881,-0.137725211334907,2.38684173080565,0.0135723082064122,-1.42873898387232,-0.580759350248298,0.867155248235909,-0.648540632287934,-0.335020600663911,-0.705675154281839,-0.179519653654547,0.3087065781632,3.27053743665539,0.306484406203994,2.21003852822713,-2.9335988010555,1.55255926171556
"Nm_14",0.588251624462531,-0.237894056799218,2.70327133617264,0.145530179513406,0.515811139979225,-0.0829749102414463,-1.93317824304466,-0.305731295046511,-0.650366436176932,0.35735912391376,-1.11445628384117,-0.49170317124162,-0.575422982267191,0.0729829686994628,0.390250759671462,0.306484406203994,0.406137925601022,0.159521842572456,0.791145872373196
"Nm_201",0.24668616509719,-0.73345439137946,-0.72064969580264,-0.632559923869551,-0.729218878578486,1.38467116941517,1.74528393365176,-0.702980626255742,0.75876084220642,-1.15149051038878,-0.205114653467701,0.57129866757998,-0.342759010507361,0.650855193803882,-0.606301492517559,-1.17812728848877,-1.61438436560878,-0.275785083045552,-0.461868528339731
"Oh_01",1.02469637809602,-0.770919433856317,-0.526398131872213,-0.308955557291679,0.410838159412625,-0.905502344200838,0.085796704191215,0.882310855194996,-0.108394406029489,-0.145590754187087,-0.0752087062714901,-0.755866113266581,-0.574049999871063,0.0223055082215851,0.473369676785176,-0.342037340677113,0.406137925601022,0.293177899262002,-0.568071190046777
"Oh_02",-0.025301145138174,1.2664976942942,-0.0173099618395702,0.596019651858294,-0.921517218151731,0.341694388950478,0.0220414421572001,2.47666577503343,0.867155248235909,1.8662087582163,0.0546972409247204,1.03666813618851,1.79350571088959,-0.563313702514552,1.09654758176647,1.28437313023582,0.689645481459261,-0.028063046595328,1.64867920654184
"Oh_03",0.126505725690866,0.693963726988783,-0.208694053612676,0.364893535467705,-0.315166067166631,-1.11031105152351,-0.100534637707666,-0.816098834688696,0.433577624117955,1.61473381916588,0.444415082513352,0.256048382393553,-0.501714305808567,1.07375888392447,-0.929286897044757,0.306484406203994,-0.339576734330144,-0.413118640950674,-0.521535481549783
"Oh_04",-2.00511575220024,1.60947312860506,-0.598642196261765,-0.36117631005631,-0.948317165807269,-1.31634605302501,-1.65432382940734,2.35565576303542,-0.108394406029489,-0.648540632287934,-1.89389196701844,-1.38325310057587,-0.586653274173977,0.250488171522393,-0.405530768184976,0.836365255593204,-0.339576734330144,-1.18248706531222,-1.74762870483512
"Ol_55",-0.139156298259954,-0.520584831851865,0.440943906584544,0.3233548755977,-0.398609994496562,-1.05027195273653,-0.40333007744705,-0.554306122920113,0.867155248235909,1.61473381916588,2.65281618484893,-1.03034792021439,-0.578604336230775,-0.941917233312452,-0.981419316107235,0.306484406203994,0.406137925601022,0.139130194362808,-0.23950623757242
"Om_05",-2.52378922753279,2.06007541221308,-0.0977753997592956,0.527192858406229,-0.980027938323044,-1.31815073192911,-0.38870842210141,-0.383264392477144,-0.650366436176932,-1.65444038848963,0.444415082513352,-0.836819272919392,0.479133851194964,0.499016020073431,-0.63989014978698,0.306484406203994,-0.339576734330144,-0.449019607155259,-0.844584221415416
